episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-94.90260133481375,-94.90260133481375,-94.90260133481375,2352.0,1,1,2500,False,1,1,0071e619b3534621b6c7c2121861094c,2021-03-30_12-29-09,1617103749,96.08099579811096,96.08099579811096,8524,alexanders-mbp.lan,192.168.86.244,96.08099579811096,0,1,46521_00008,[-94.90260133481375],[2352],3.014588727802336,0.792690488349338,1.797606686695439,0.22081669117631267,6.021,42520.387,4.281,2500,256256,2500,1001,75.73722627737226,60.2051094890511,0.1299238,0.21911614,-0.14599077
-5.519929573001876,-94.90260133481375,-50.211265453907814,2352.0,1,1,5000,False,2,2,0071e619b3534621b6c7c2121861094c,2021-03-30_12-31-10,1617103870,121.25745606422424,217.3384518623352,8524,alexanders-mbp.lan,192.168.86.244,217.3384518623352,0,2,46521_00008,"[-5.519929573001876, -94.90260133481375]","[2352, 2352]",2.6381111101741057,0.7138540500001738,1.5940593326619417,0.1993368069967047,6.312,40554.523,2.987,5000,896256,5000,3501,42.02325581395349,57.43604651162791,0.12330428,0.20760886,-0.08710137
-5.519929573001876,-94.90260133481375,-35.60820356545813,2352.0,1,1,7500,False,3,3,0071e619b3534621b6c7c2121861094c,2021-03-30_12-33-14,1617103994,123.38121724128723,340.71966910362244,8524,alexanders-mbp.lan,192.168.86.244,340.71966910362244,0,3,46521_00008,"[-6.402079788558769, -94.90260133481375, -5.519929573001876]","[2352, 2352, 2352]",2.4227621333329776,0.6693703871101505,1.4773087991139524,0.18683309298588155,7.986,32057.066,3.646,7500,1536256,7500,6001,37.42342857142857,60.48114285714286,0.16666785,0.25547677,-0.1638412
-2.9611017984507266,-94.90260133481375,-27.44642812370628,2352.0,1,1,10000,False,4,4,0071e619b3534621b6c7c2121861094c,2021-03-30_12-35-29,1617104129,135.19500207901,475.91467118263245,8524,alexanders-mbp.lan,192.168.86.244,475.91467118263245,0,4,46521_00008,"[-2.9611017984507266, -94.90260133481375, -5.519929573001876, -6.402079788558769]","[2352, 2352, 2352, 2352]",2.2852291812047323,0.6416412618086464,1.4036202261904758,0.17900593495621284,9.276,27598.928,2.855,10000,2176256,10000,8501,43.93612565445026,62.294764397905745,0.16387366,0.22304699,-0.1374867
-2.1134097812730066,-94.90260133481375,-22.379824455219627,2352.0,1,1,12500,False,5,5,0071e619b3534621b6c7c2121861094c,2021-03-30_12-37-35,1617104255,125.56593179702759,601.48060297966,8524,alexanders-mbp.lan,192.168.86.244,601.48060297966,0,5,46521_00008,"[-2.1134097812730066, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266]","[2352, 2352, 2352, 2352, 2352]",2.185455792373315,0.6208086174093641,1.3504218936902834,0.1733289096873059,8.131,31484.245,2.718,12500,2816256,12500,11001,43.57865168539326,59.4443820224719,0.16329893,0.22675388,-0.06284335
-2.1134097812730066,-94.90260133481375,-19.352064179879623,2352.0,1,1,15000,False,6,6,0071e619b3534621b6c7c2121861094c,2021-03-30_12-39-34,1617104374,118.6791570186615,720.1597599983215,8524,alexanders-mbp.lan,192.168.86.244,720.1597599983215,0,6,46521_00008,"[-4.2132628031796076, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066]","[2352, 2352, 2352, 2352, 2352, 2352]",2.108416483600421,0.6080247346546084,1.3094398221627968,0.1689086137547313,4.555,56195.96,2.592,15000,3456256,15000,13501,42.221428571428575,60.962500000000006,0.15618077,0.21505255,-0.22163999
-2.1134097812730066,-94.90260133481375,-16.94191582070405,2352.0,1,1,17500,False,7,7,0071e619b3534621b6c7c2121861094c,2021-03-30_12-41-25,1617104485,111.06582808494568,831.2255880832672,8524,alexanders-mbp.lan,192.168.86.244,831.2255880832672,0,7,46521_00008,"[-2.4810256656506264, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.045995217720225,0.5971759325747998,1.2760790904524346,0.1652531656391228,5.134,49864.712,3.144,17500,4096256,17500,16001,37.98227848101265,60.99746835443038,0.14567345,0.19642916,-0.24415472
-2.1134097812730066,-94.90260133481375,-15.220753307692627,2352.0,1,1,20000,False,8,8,0071e619b3534621b6c7c2121861094c,2021-03-30_12-43-33,1617104613,128.5938060283661,959.8193941116333,8524,alexanders-mbp.lan,192.168.86.244,959.8193941116333,0,8,46521_00008,"[-3.172615716612652, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.9976348933135937,0.5888887803429264,1.2504059387155355,0.16245115072936123,4.797,53372.195,3.077,20000,4736256,20000,18501,49.55274725274725,62.70000000000001,0.14217097,0.20657821,-0.07988548
-2.1134097812730066,-94.90260133481375,-13.873570139108418,2352.0,1,1,22500,False,9,9,0071e619b3534621b6c7c2121861094c,2021-03-30_12-45-26,1617104726,112.25813126564026,1072.0775253772736,8524,alexanders-mbp.lan,192.168.86.244,1072.0775253772736,0,9,46521_00008,"[-3.096104790434746, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.9564843683289195,0.5812878137739861,1.2284728107138347,0.16003625284054707,4.661,54928.756,2.813,22500,5376256,22500,21001,40.08805031446541,61.95408805031446,0.13426626,0.19878852,-0.142779
-1.58455959666599,-94.90260133481375,-12.644669084864175,2352.0,1,1,25000,False,10,10,0071e619b3534621b6c7c2121861094c,2021-03-30_12-47-21,1617104841,115.07667088508606,1187.1541962623596,8524,alexanders-mbp.lan,192.168.86.244,1187.1541962623596,0,10,46521_00008,"[-1.58455959666599, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.9212650011267602,0.5744662481057008,1.2096427961063339,0.157955956922451,5.498,46563.766,2.546,25000,6016256,25000,23501,39.27791411042945,62.11595092024541,0.12701054,0.16645698,-0.0694558
-1.421115563739768,-94.90260133481375,-11.62434603748923,2352.0,1,1,27500,False,11,11,0071e619b3534621b6c7c2121861094c,2021-03-30_12-49-16,1617104956,114.67302703857422,1301.8272233009338,8524,alexanders-mbp.lan,192.168.86.244,1301.8272233009338,0,11,46521_00008,"[-1.421115563739768, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.8905255496370388,0.5683044366084533,1.1931326938263795,0.15611653949409696,4.967,51539.195,2.646,27500,6656256,27500,26001,35.48588957055215,62.29693251533741,0.122112006,0.16300763,-0.16096167
-1.421115563739768,-94.90260133481375,-10.80422433122297,2352.0,1,1,30000,False,12,12,0071e619b3534621b6c7c2121861094c,2021-03-30_12-51-10,1617105070,113.88744807243347,1415.7146713733673,8524,alexanders-mbp.lan,192.168.86.244,1415.7146713733673,0,12,46521_00008,"[-1.7828855622941286, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.8636419000832938,0.5627529253105673,1.1786850073576438,0.15450443820248103,5.202,49214.479,2.749,30000,7296256,30000,28501,34.71180124223603,62.45155279503106,0.11279463,0.14349718,-0.12652065
-1.421115563739768,-94.90260133481375,-10.094175653859612,2352.0,1,1,32500,False,13,13,0071e619b3534621b6c7c2121861094c,2021-03-30_12-53-10,1617105190,119.7083330154419,1535.4230043888092,8524,alexanders-mbp.lan,192.168.86.244,1535.4230043888092,0,13,46521_00008,"[-1.5735915254993007, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.8401654684010487,0.557840020740814,1.166082350283803,0.15309253127388678,5.281,48478.555,3.154,32500,7936256,32500,31001,36.91301775147929,63.01360946745563,0.110635564,0.13427135,-0.105198555
-1.421115563739768,-94.90260133481375,-9.47553159834204,2352.0,1,1,35000,False,14,14,0071e619b3534621b6c7c2121861094c,2021-03-30_12-55-16,1617105316,125.96730995178223,1661.3903143405914,8524,alexanders-mbp.lan,192.168.86.244,1661.3903143405914,0,14,46521_00008,"[-1.4331588766136019, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.8198854600688168,0.5535448197323033,1.155255121095116,0.1518897460062593,8.603,29758.379,4.479,35000,8576256,35000,33501,44.87640449438202,62.85224719101123,0.100630775,0.13929714,-0.1115661
-1.2713966399480656,-94.90260133481375,-8.928589267782439,2352.0,1,1,37500,False,15,15,0071e619b3534621b6c7c2121861094c,2021-03-30_12-57-14,1617105434,118.16024017333984,1779.5505545139313,8524,alexanders-mbp.lan,192.168.86.244,1779.5505545139313,0,15,46521_00008,"[-1.2713966399480656, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.8017084933026433,0.5496729634355693,1.1455450200043447,0.15081030429762754,5.214,49096.338,2.902,37500,9216256,37500,36001,40.01130952380952,60.48452380952381,0.09373947,0.13073711,-0.11980966
-0.828177008873224,-94.90260133481375,-8.016894214852499,2352.0,2,1,40000,False,17,16,0071e619b3534621b6c7c2121861094c,2021-03-30_12-59-12,1617105552,117.53307104110718,1897.0836255550385,8524,alexanders-mbp.lan,192.168.86.244,1897.0836255550385,0,16,46521_00008,"[-1.5301856268826135, -0.828177008873224, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7706757002319053,0.5440995552779777,1.128978414210831,0.1489699516817053,5.873,43586.206,3.407,40000,9856256,40000,38501,40.54610778443114,61.243712574850285,0.09735,0.12772281,-0.11810035
-0.828177008873224,-94.90260133481375,-7.629924123731071,2352.0,1,1,42500,False,18,17,0071e619b3534621b6c7c2121861094c,2021-03-30_13-01-07,1617105667,115.4564938545227,2012.5401194095612,8524,alexanders-mbp.lan,192.168.86.244,2012.5401194095612,0,17,46521_00008,"[-1.0514325746668138, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7572487121642786,0.5416821720810789,1.1217970393726335,0.14817236039798812,4.792,53421.586,2.836,42500,10496256,42500,41001,38.50858895705521,62.206134969325156,0.08969096,0.11761113,-0.063339375
-0.828177008873224,-94.90260133481375,-7.279086400748575,2352.0,1,1,45000,False,19,18,0071e619b3534621b6c7c2121861094c,2021-03-30_13-03-12,1617105792,124.24729800224304,2136.787417411804,8524,alexanders-mbp.lan,192.168.86.244,2136.787417411804,0,18,46521_00008,"[-0.9640073870636486, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7450539882694887,0.5394221791063059,1.1153203726139935,0.14745483177186522,6.367,40210.08,2.915,45000,11136256,45000,43501,41.79659090909092,63.18181818181818,0.07716562,0.11242112,-0.23346692
