episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-0.828177008873224,-94.90260133481375,-6.975039149243122,2352.0,1,1,47500,False,20,19,0071e619b3534621b6c7c2121861094c,2021-03-30_13-05-13,1617105913,121.2409119606018,2258.028329372406,8524,alexanders-mbp.lan,192.168.86.244,2258.028329372406,0,19,46521_00008,"[-1.198141370639503, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7338826008942785,0.5373122263373111,1.1094133526142322,0.14680248859731182,4.643,55134.935,3.014,47500,11776256,47500,46001,42.14127906976744,63.30988372093023,0.079371125,0.10275286,-0.19269378
-0.4345463187172973,-94.90260133481375,-6.663587109694272,2352.0,1,1,50000,False,21,20,0071e619b3534621b6c7c2121861094c,2021-03-30_13-07-11,1617106031,118.26357817649841,2376.2919075489044,8524,alexanders-mbp.lan,192.168.86.244,2376.2919075489044,0,20,46521_00008,"[-0.4345463187172973, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7235069656191524,0.5353657127503743,1.1039451894179608,0.14619547295923793,4.664,54884.955,2.798,50000,12416256,50000,48501,41.70238095238095,61.830357142857146,0.06948107,0.09906139,-0.20623916
-0.4345463187172973,-94.90260133481375,-6.39796172723608,2352.0,1,1,52500,False,22,21,0071e619b3534621b6c7c2121861094c,2021-03-30_13-09-05,1617106145,113.18764591217041,2489.479553461075,8524,alexanders-mbp.lan,192.168.86.244,2489.479553461075,0,21,46521_00008,"[-0.8198286956140405, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7137653221426512,0.5334574805643711,1.0987971064740087,0.14562286608305983,7.568,33828.229,4.231,52500,13056256,52500,51001,36.72484472049689,62.139130434782615,0.07745813,0.08910063,0.016804673
-0.4345463187172973,-94.90260133481375,-6.148831836724807,2352.0,1,1,55000,False,23,22,0071e619b3534621b6c7c2121861094c,2021-03-30_13-11-02,1617106262,117.68268895149231,2607.162242412567,8524,alexanders-mbp.lan,192.168.86.244,2607.162242412567,0,22,46521_00008,"[-0.6679742454767967, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.7046837577448368,0.5316331195134542,1.0940211549912862,0.14509120794970273,5.771,44359.965,4.14,55000,13696256,55000,53501,36.8632530120482,62.57469879518073,0.07216025,0.08544051,0.005670294
-0.4345463187172973,-94.90260133481375,-5.919437195031182,2352.0,1,1,57500,False,24,23,0071e619b3534621b6c7c2121861094c,2021-03-30_13-13-13,1617106393,130.35041999816895,2737.512662410736,8524,alexanders-mbp.lan,192.168.86.244,2737.512662410736,0,23,46521_00008,"[-0.6433604360777976, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.6964798436139088,0.5300034050552775,1.08971814146899,0.14461491534318385,5.185,49376.294,3.471,57500,14336256,57500,56001,46.902702702702705,62.344864864864874,0.06529513,0.0838249,0.028114207
-0.4345463187172973,-94.90260133481375,-5.701909099742946,2352.0,1,1,60000,False,25,24,0071e619b3534621b6c7c2121861094c,2021-03-30_13-15-14,1617106514,120.48484301567078,2857.997505426407,8524,alexanders-mbp.lan,192.168.86.244,2857.997505426407,0,24,46521_00008,"[-0.48123481282532193, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.6888221015556173,0.528449600947381,1.0857115183498849,0.14417014802784392,4.829,53008.058,3.563,60000,14976256,60000,58501,44.24912280701755,61.09239766081872,0.05874355,0.07767941,-0.05961886
-0.4345463187172973,-94.90260133481375,-5.537032418567133,2352.0,1,1,62500,False,26,25,0071e619b3534621b6c7c2121861094c,2021-03-30_13-17-19,1617106639,124.83793091773987,2982.8354363441467,8524,alexanders-mbp.lan,192.168.86.244,2982.8354363441467,0,25,46521_00008,"[-1.4151153891717734, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.681767714517437,0.5269971826523211,1.0820277858986016,0.14376394370434162,4.835,52943.5,3.088,62500,15616256,62500,61001,47.50395480225989,61.702259887005646,0.05682482,0.072444506,-0.0063024573
-0.4345463187172973,-94.90260133481375,-5.396804338529619,2352.0,1,1,65000,False,27,26,0071e619b3534621b6c7c2121861094c,2021-03-30_13-19-16,1617106756,116.95877408981323,3099.79421043396,8524,alexanders-mbp.lan,192.168.86.244,3099.79421043396,0,26,46521_00008,"[-1.7508742575542626, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193, -1.4151153891717734]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.6751373130743104,0.5256148287056642,1.0785827548331046,0.14338467551078865,6.424,39850.13,3.006,65000,16256256,65000,63501,40.992727272727265,64.07333333333332,0.05047863,0.068695486,-0.14139092
-0.4345463187172973,-94.90260133481375,-5.247247441275782,2352.0,1,1,67500,False,28,27,0071e619b3534621b6c7c2121861094c,2021-03-30_13-21-08,1617106868,112.65732407569885,3212.451534509659,8524,alexanders-mbp.lan,192.168.86.244,3212.451534509659,0,27,46521_00008,"[-1.2092112154221597, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193, -1.4151153891717734, -1.7508742575542626]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.668771623813343,0.5242511253988859,1.0752813885761403,0.14301904593284145,5.878,43553.499,3.108,67500,16896256,67500,66001,37.724374999999995,62.803125,0.046773024,0.06341564,-0.096930355
-0.4345463187172973,-94.90260133481375,-5.092842427399196,2352.0,1,1,70000,False,29,28,0071e619b3534621b6c7c2121861094c,2021-03-30_13-23-01,1617106981,112.07020998001099,3324.52174448967,8524,alexanders-mbp.lan,192.168.86.244,3324.52174448967,0,28,46521_00008,"[-0.7695020388548082, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193, -1.4151153891717734, -1.7508742575542626, -1.2092112154221597]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.6626404400822723,0.5229070164841788,1.072088008991111,0.14266335318318435,4.687,54623.335,3.531,70000,17536256,70000,68501,37.7754716981132,63.85660377358491,0.044562746,0.06425269,-0.038532283
-0.4345463187172973,-94.90260133481375,-4.97401597833712,2352.0,1,1,72500,False,30,29,0071e619b3534621b6c7c2121861094c,2021-03-30_13-25-06,1617107106,125.78117799758911,3450.302922487259,8524,alexanders-mbp.lan,192.168.86.244,3450.302922487259,0,29,46521_00008,"[-1.5280489555369121, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193, -1.4151153891717734, -1.7508742575542626, -1.2092112154221597, -0.7695020388548082]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.6569461091525803,0.5216477791486921,1.069118234804905,0.142333979646511,4.136,61888.92,2.689,72500,18176256,72500,71001,47.1814606741573,63.065730337078655,0.040670343,0.05630682,-0.020690512
-0.4345463187172973,-94.90260133481375,-4.8405274895955674,2352.0,1,1,75000,True,31,30,0071e619b3534621b6c7c2121861094c,2021-03-30_13-27-15,1617107235,128.01684093475342,3578.3197634220123,8524,alexanders-mbp.lan,192.168.86.244,3578.3197634220123,0,30,46521_00008,"[-0.8358728273490075, -94.90260133481375, -5.519929573001876, -6.402079788558769, -2.9611017984507266, -2.1134097812730066, -4.2132628031796076, -2.4810256656506264, -3.172615716612652, -3.096104790434746, -1.58455959666599, -1.421115563739768, -1.7828855622941286, -1.5735915254993007, -1.4331588766136019, -1.2713966399480656, -1.5301856268826135, -0.828177008873224, -1.0514325746668138, -0.9640073870636486, -1.198141370639503, -0.4345463187172973, -0.8198286956140405, -0.6679742454767967, -0.6433604360777976, -0.48123481282532193, -1.4151153891717734, -1.7508742575542626, -1.2092112154221597, -0.7695020388548082, -1.5280489555369121]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",1.651678556660324,0.5204722859690114,1.0663791965711586,0.14203243805176416,4.947,51751.333,3.165,75000,18816256,75000,73501,49.6554945054945,61.62637362637363,0.03838761,0.051930755,0.0050644726
